time (min),cell1,cell2,cell3,cell4,cell5
149,2.152813363,3.117379646,2.158926663,3.079952087,2.474443241
149.5,2.045836047,3.267593372,1.842016279,3.184201667,2.30690192
150,2.06647109,3.086233144,1.955545749,3.268913801,2.084550279
150.5,2.204952216,3.060902374,1.938025895,3.336189516,2.41410261
151,2.123346476,3.159831381,1.96382129,3.254641385,2.322047606
151.5,2.048131057,3.20000264,2.113371313,3.125056814,2.363402542
152,2.085944733,3.110811157,2.03235817,3.151124496,2.10029574
152.5,2.175862429,3.324656526,1.980035209,3.11891365,2.020913212
153,1.943192181,3.186438868,1.879628235,3.14297286,2.406965841
153.5,2.052509525,3.250168193,2.100838234,3.175161954,2.210111802
154,1.93258118,3.142731942,2.173958372,3.05568183,2.225830279
154.5,2.022679585,3.212375502,2.172902243,3.177981296,2.352177659
155,2.048127962,3.036087979,1.971094021,3.322499365,2.255849297
155.5,1.961621291,3.107372834,1.899235976,3.10637796,2.068778225
156,2.028638763,3.273620827,2.013724106,3.133802916,2.484619193
156.5,2.010576088,3.196432956,2.003981856,3.137334056,2.261456608
157,2.181945448,3.142982845,2.087423125,3.083117877,2.347047726
157.5,1.922016329,3.15716671,1.961260952,3.073853102,2.17517248
158,2.074138501,3.241856979,2.073037397,3.237487999,2.222534464
158.5,1.965932202,3.158093138,2.129123791,3.225514627,2.373367247
159,2.06350535,3.097268097,2.055401393,3.158535652,2.247692477
159.5,2.164022731,3.35062498,2.039700108,3.166287844,2.255054595
160,1.937566711,3.574422627,1.999993322,3.077841638,2.475633147
160.5,2.020091637,3.556236439,2.063161285,3.063542642,2.267038194
161,1.999654532,3.123052729,1.995560569,3.16098013,2.368693162
161.5,2.043001813,3.292678298,2.073342474,3.044200434,2.406203403
162,2.030112285,3.274955714,2.164419767,3.227706424,2.311261685
162.5,2.221692062,3.17762906,2.07409149,3.044785443,2.184153988
163,2.079810972,3.333510013,2.134357475,3.083209062,2.132310939
163.5,2.064729512,3.472224317,1.988458953,3.147623407,2.564129014
164,2.154474619,3.41185858,1.974751976,3.009154971,2.422207918
164.5,1.982757075,3.44138148,1.959059866,3.127140871,2.417178835
165,2.000246844,3.432181597,2.102302344,3.274784139,2.464938003
