time (min),cell1,cell2,cell3,cell4,cell5
62.66666667,1.000730538,1.003147071,1.002502083,1.002495801,1.000551876
62.83333333,1.002154897,0.999232546,1.006675391,1.018994339,0.999803886
63,1.001127632,1.002607355,1.002107452,1.004921226,1.004159005
63.16666667,1.001195459,1.001956522,1.004171406,1.000497808,1.004054146
63.33333333,1.000589952,1.002248603,1.004370468,1.006869685,1.003278194
63.5,1.000682443,1.003251839,1.004489206,1.016021293,1.004124052
63.66666667,0.999419636,1.002404168,1.00317959,1.005266433,1.004172986
63.83333333,1.001424836,1.002083514,1.003113236,1.00636818,1.002257572
64,1.000868658,1.001381883,1.004978129,1.014699592,1.002488261
64.16666667,1.001541991,1.001820005,1.004286652,1.004833977,1.001831148
64.33333333,1.001009244,1.002286701,1.003577714,1.003511534,1.00385142
64.5,1.002005678,1.000537387,1.003846621,1.009659916,1.004767183
64.66666667,1.000109,1.002464489,1.003940914,1.014679993,1.00073363
64.83333333,0.999129831,1.000943761,1.00473716,1.00924673,1.003676656
65,1.000638048,1.001918424,1.002194759,1.015786228,1.003767533
65.16666667,1.001340978,0.998622985,1.00519116,1.008464456,1.001775224
65.33333333,1.000683676,1.001162822,1.004433329,1.012545919,1.002278544
65.5,1.002222723,1.000264355,1.002837344,1.007249314,1.0033481
65.66666667,1.000449366,1.002874038,1.005715006,1.003841836,1.005165645
65.83333333,1.00194895,1.001848579,1.004415868,1.011311754,1.004207939
66,1.000591186,1.000140538,1.002802421,1.01064061,1.006815417
