fov_id;chnl_id;lineage_times;fl_totals;fl_concs
12;292;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[20570 18234 29713 29391 11034  9546  9434  9015  8852  7274  7615  7167
  6469  6658  6156  6014  6032]";"[6.99184228 8.05388693 8.80646117 7.56330417 6.07186874 6.37739101
 6.01639963 5.8021917  6.83314148 4.80812282 5.53025702 4.70805808
 4.31865483 4.47722963 4.40736114 4.04416626 4.06114661]"
12;957;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[38749 21433 17265 20744 19808 19090 16471 15230 15057 13922 13655 12379
 12949 11279 12372 11249 10940]";"[ 8.23745748  9.25431779 10.00642326  9.69433743 10.81058342 10.80821125
  9.78342533  9.65355989  8.52471399  7.76730872  7.4985901   7.23578261
  7.21039383  7.24661578  7.27625764  6.52550043  6.60108599]"
12;1549;[  1  31  61 121 211 241 271 301 331 361 391 421 451 481];"[35839 43656 26715 37611 13383 10827  9801 11211  9605 10200  9297  9394
 10527  9720]";"[9.69145484 6.33430064 5.50597692 7.48031026 8.24970459 5.73977972
 4.79664856 5.15005064 5.8511517  4.25601362 4.13280209 4.78113837
 4.29457443 4.68596043]"
12;367;[  1  31  61  91 121 151 181 211 271 301 331 361];"[16535. 27683. 53426. 61640. 63010. 51866. 16392. 18078. 14748. 16450.
 14440. 15356.]";"[ 7.03018707  8.19023669 10.45109546 22.67844003 23.84935655 22.8686067
 19.22233991 20.24508441 19.07662873 17.0047755  19.18333598 15.64986631]"
12;441;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[19231 41483 25530 28088 10342  8501  9484  9106  8313  7677  7217  6852
  7209  6539  6148  6047  5141]";"[ 6.29698756  8.47283497 10.39495114 11.08445146 11.52869125  8.79660941
  9.75859565  8.18297646  8.79892801  8.97109446  8.40817589  7.4171264
  8.14697624  7.43455289  6.68070415  6.2546359   6.56224065]"
12;1252;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[15763 27090 20070 22994 20885 22338  9887  8305  6550  6748  6159  5695
  6132  6196  5613  5574  5538]";"[6.78270224 7.72675414 8.60634648 8.41038771 8.63730356 9.09527687
 9.43816763 8.83554223 6.99112426 7.38954634 6.15398291 5.44375482
 6.23255757 6.42071918 6.15162423 5.94978733 6.10787254]"
12;217;[  1  31  61 151 181 211 241 271 301 331 361 391 421 451 481];"[17093  8287 18226  8278  7874  8248  7373  6353  6116  5636  5383  5587
  5069  5380  4457]";"[5.30838509 3.87605239 5.27372685 5.75426316 5.3943471  5.35749014
 5.06332428 4.08172268 3.827262   4.35293387 4.52318409 4.5964597
 4.04225491 4.48087959 3.72856364]"
12;1178;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[32612 26051 14444 17376 17426 16281 13008 12966 13271 12483 11654 12628
 11449 10979 11900 11375 10491]";"[7.55607044 8.78320971 6.19601356 8.05416556 6.80633736 5.92470702
 5.88911956 6.30784915 5.69283412 5.7083652  5.9901079  5.40387349
 5.22078103 5.32404291 5.46309429 5.20888565 5.09181483]"
13;1698;[  1  31  61 421];[17686 28263 28771 17440];[6.38945087 6.28066667 8.71320412 5.06976744]
13;1255;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[36730 30039 21835 27213 28741 29553 24313 21714 22477 21594 19235 19391
 19116 18179 16516 17611 19203]";"[ 7.58257638  7.38058968  8.11823935 10.13147733 10.98115585  9.81835522
  9.56935958  7.95776324  7.95408568  7.60461791  6.49742919  6.27954442
  6.39546642  6.91506896  6.0362373   5.99865705  6.82858528]"
13;1033;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[36645 29956 69945 33513 32660 30902 27615 29652 27804 27538 24946 24182
 23485 22817 21148 21151 21302]";"[ 8.10013263  9.06110103 10.44578853 11.70096683  9.78103864 10.51199452
  9.08821732 10.23221727  8.6380319   8.7923322   7.69274999  8.76898865
  8.47619664  8.41549426  6.77113057  7.21287816  6.83420095]"
13;295;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[17887 15364 25835 20952  7304  6676  6115  5135  5341  5085  5291  4619
  5250  4903  4772  4845  4698]";"[6.49491649 6.78621908 7.86693057 6.17688679 7.95113094 6.86929402
 6.99595229 5.41606347 6.11745379 5.88583917 5.55960672 4.83434929
 6.03633999 6.04795902 6.81132855 6.00581172 6.35499171]"
13;1846;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[37680 30015 17233 17349 18476 16363 15482 15921 15199 15255 12703 12969
 15011 12954 12995 12627 12186]";"[6.38644068 6.71777081 8.17325841 7.54184266 8.53714812 8.17515195
 8.32035687 8.34568284 8.57621288 8.01173892 5.99628844 6.41818098
 7.08575028 6.47197448 6.35763921 6.63430561 6.87609252]"
13;959;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[23150 15360 14185 28206 26963 24599 22970 17412 17943 15753 14855 13017
 13942 12256 11343 13025 11566]";"[ 7.92265572  6.3681592   5.85518254 12.30261321 11.70718694 11.16172669
 11.00357949  7.45176471  8.59087289  6.74570764  6.96955316  5.85314924
  5.99342145  5.77622249  5.13186345  5.61013006  5.59936919]"
14;1474;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[30989 25006 47813 52282 48571 21071 16849 16042 14704 14415 13054 12357
 12216 11921 11578 11026 11178]";"[6.46142619 5.57671722 6.93746373 9.10836237 8.31125941 8.31551958
 6.46644108 6.62210084 5.39341922 5.41352508 4.98842245 4.49293963
 4.66819126 4.4993878  3.72379661 4.2882211  4.14818308]"
14;366;[  1  31  61 451];[19431 12726 28203 11312];[7.86680162 5.82692308 8.15115607 6.98517881]
14;144;[  1  31  61  91 121 151 181 211 241 271 301 451 481];"[31602 29310 21965 11015  7618  6361  6785  6127  6166  5687  5606  4442
  4761]";"[ 6.97308032  9.14223331  9.23675357 11.59806555  8.65213442  7.96305542
  8.485095    7.06471274  6.37685903  6.56401884  5.91026236  4.31576562
  4.79193365]"
14;1844;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[13775  7954 17053  5469  5618  4906  4614  4424  4099  3812  3648  3575
  3408  3241  3189  2983  2910]";"[5.18637048 4.6760729  4.92861272 4.87153748 4.48805645 4.60928227
 4.06236138 3.66943117 3.44202203 3.53597243 2.89730228 2.95648759
 2.69763997 2.41274645 2.87666649 2.49453759 2.55051738]"
14;1326;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[32308 25858 42696 12974 19068 13376 13608 12954 12251 11457 10838  8890
  9963  9526 11202  9732  9597]";"[ 8.19168357  8.61359094  9.13869863  8.12745347 10.58045344  7.11024529
  6.88053765  6.95844687  6.00731536  6.06886759  6.64087688  5.28233384
  5.98326066  5.79612047  5.72951285  5.15735619  4.86978598]"
14;440;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[18455 40350 26015 28079 28200 12417  9202  9165  8153  8025  6399  7348
  6713  5786  6553  7151  5760]";"[7.61344884 8.08293269 8.68904476 7.5238478  9.05587669 9.35885712
 6.09726414 7.33266417 7.31600736 6.60324044 6.18352025 6.8236438
 5.52368263 5.22290398 6.59557681 5.88997891 4.96843672]"
14;1401;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[27367 13029 30030  7585  8093  7537  6792  5372  5751  5110  5053  4469
  4596  4554  3784  3753  3819]";"[6.64247573 6.03753475 7.99095263 5.95757992 7.60121955 6.83593291
 6.36015181 5.22989961 5.19278245 4.68894385 4.3990862  4.3924215
 5.03119014 3.73458003 3.60869954 3.34683971 3.71681761]"
15;514;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[21044 33474 24128 27220 12342 10748  9396  8473  8564  7516  7770  6918
  6736  6217  6379  6176  5912]";"[7.11907984 6.83142857 6.19301848 6.68467583 5.59621152 5.14584518
 4.71713448 4.63974488 4.34127635 3.39282126 4.00356712 3.69182641
 2.8680766  3.26427621 3.40518081 2.97718972 3.01226988]"
15;1252;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[24522 23647 37481 13331 13294 11492 10894  9390  9090  8625  8793  8121
  7911  8567  7504  7470  8454]";"[5.82193732 8.15413793 8.14804348 7.86585131 7.20322578 6.4015075
 5.87115612 6.64023023 5.64746311 5.64150768 5.64466886 5.18569019
 5.45565859 5.81594455 4.86579967 5.01843607 4.81214031]"
15;72;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[41010 30814 49042 20282 14445 16631 15825 12910 14923 12519 12988 12596
 13930 14066 12227 12687 12073]";"[ 8.06648308  8.10468175  7.69165621 12.64723814  9.71366506 11.06193835
 12.96591973  9.10063384  9.99346634  9.82437683  9.86758198  9.04403315
 10.79306088 10.09950542  9.52156497  9.17741653  8.11859316]"
15;1769;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 451 481];"[59424 20483 22686 25877 28187 26350 25491 24985 23211 23778 22849 21971
 20073 19409 18768 18124]";"[5.83503535 4.88155386 5.60784424 7.02693065 7.44672244 7.15537437
 6.375711   6.44949738 6.15966562 5.94153271 5.18173701 5.49000821
 5.13758083 4.97536817 4.81958595 4.30212475]"
